beg,end,approval,disapproval,no opinon
2011-03-28,2011-04-03,48,44,8
2011-03-21,2011-03-27,45,47,8
2011-03-14,2011-03-20,48,44,9
2011-03-07,2011-03-13,47,45,9
2011-02-28,2011-03-06,46,46,8
2011-02-21,2011-02-27,48,44,8
2011-02-14,2011-02-20,48,43,9
2011-02-07,2011-02-13,48,43,8
2011-01-31,2011-02-06,47,45,8
2011-01-24,2011-01-30,50,42,9
2011-01-17,2011-01-23,50,42,8
2011-01-10,2011-01-16,49,42,9
2011-01-03,2011-01-09,48,45,7
2010-12-27,2011-01-02,48,44,8
2010-12-20,2010-12-26,47,46,7
2010-12-13,2010-12-19,46,46,9
2010-12-06,2010-12-12,45,48,7
2010-11-29,2010-12-05,46,46,9
2010-11-22,2010-11-28,45,47,9
2010-11-15,2010-11-21,46,46,7
2010-11-08,2010-11-14,44,48,8
2010-11-01,2010-11-07,45,47,8
2010-10-25,2010-10-31,45,48,7
2010-10-18,2010-10-24,44,48,8
2010-10-11,2010-10-17,45,47,9
2010-10-04,2010-10-10,46,48,7
2010-09-27,2010-10-03,46,47,7
2010-09-20,2010-09-26,44,48,8
2010-09-13,2010-09-19,46,47,7
2010-09-06,2010-09-12,46,46,8
2010-08-30,2010-09-05,45,47,8
2010-08-23,2010-08-29,43,49,8
2010-08-16,2010-08-22,43,50,7
2010-08-09,2010-08-15,44,48,8
2010-08-02,2010-08-08,45,48,7
2010-07-26,2010-08-01,45,47,8
2010-07-19,2010-07-25,45,47,8
2010-07-12,2010-07-18,46,46,8
2010-07-05,2010-07-11,46,47,7
2010-06-28,2010-07-04,46,45,9
2010-06-21,2010-06-27,45,46,9
2010-06-14,2010-06-20,47,45,8
2010-06-07,2010-06-13,46,46,8
2010-05-31,2010-06-06,47,45,8
2010-05-24,2010-05-30,46,46,8
2010-05-17,2010-05-23,48,45,8
2010-05-10,2010-05-16,49,43,7
2010-05-03,2010-05-09,50,43,8
2010-04-26,2010-05-02,48,45,7
2010-04-19,2010-04-25,50,43,7
2010-04-12,2010-04-18,48,45,7
2010-04-05,2010-04-11,47,46,6
2010-03-29,2010-04-04,49,44,7
2010-03-22,2010-03-28,49,44,7
2010-03-15,2010-03-21,48,45,7
2010-03-08,2010-03-14,48,45,8
2010-03-01,2010-03-07,49,44,7
2010-02-22,2010-02-28,50,43,7
2010-02-15,2010-02-21,49,43,8
2010-02-08,2010-02-14,51,42,7
2010-02-01,2010-02-07,50,43,8
2010-01-25,2010-01-31,48,45,7
2010-01-18,2010-01-24,49,46,6
2010-01-11,2010-01-17,50,43,7
2010-01-04,2010-01-10,51,43,7
2009-12-28,2010-01-03,51,43,7
2009-12-21,2009-12-27,51,43,7
2009-12-14,2009-12-20,50,43,7
2009-12-07,2009-12-13,49,42,8
2009-11-30,2009-12-06,50,44,7
2009-11-23,2009-11-29,50,42,8
2009-11-16,2009-11-22,49,44,7
2009-11-09,2009-11-15,53,39,8
2009-11-02,2009-11-08,52,42,6
2009-10-26,2009-11-01,53,41,7
2009-10-19,2009-10-25,53,39,8
2009-10-12,2009-10-18,52,41,7
2009-10-05,2009-10-11,54,38,8
2009-09-28,2009-10-04,52,40,8
2009-09-21,2009-09-27,51,41,7
2009-09-14,2009-09-20,52,41,7
2009-09-07,2009-09-13,52,41,7
2009-08-31,2009-09-06,53,40,7
2009-08-24,2009-08-30,50,43,7
2009-08-17,2009-08-23,52,41,7
2009-08-10,2009-08-16,54,40,7
2009-08-03,2009-08-09,56,37,7
2009-07-27,2009-08-02,54,39,7
2009-07-20,2009-07-26,56,38,7
2009-07-13,2009-07-19,59,33,7
2009-07-06,2009-07-12,58,34,7
2009-06-29,2009-07-05,60,32,8
2009-06-22,2009-06-28,60,33,7
2009-06-15,2009-06-21,59,34,7
2009-06-08,2009-06-14,61,31,8
2009-06-01,2009-06-07,62,31,7
2009-05-25,2009-05-31,63,30,7
2009-05-18,2009-05-24,64,28,8
2009-05-11,2009-05-17,64,29,8
2009-05-04,2009-05-10,66,27,7
2009-04-27,2009-05-03,65,29,6
2009-04-20,2009-04-26,65,29,6
