date,title,url
22 Apr 2010,Cooper Union Speech on Wall Street Financial Reform,speeches/barackobama/barackobamareformingwallstreet.htm
25 Apr 2010,Eulogy for Upper Big Branch Miners,speeches/barackobama/barackobamaeulogycoalminers.htm
29 Apr 2010,Eulogy for Dorothy Height,speeches/barackobama/barackobamadorothyheight.htm
01 May 2010,Commencement Speech at Michigan University,speeches/barackobama/barackobamauniversityofmichigancommencement.htm
01 May 2010,White House Correspondents Dinner Speech,speeches/barackobama/barackobamawhitehousecorrespondentsdinner2010.htm
10 May 2010,Speech Nominating Elena Kagan for USSC Justice,speeches/barackobama/barackobamaelenakagannomination.htm
22 May 2010,U.S. Military Academy Commencement Address,speeches/barackobama/barackobamawestpointcommencement.htm
27 May 2010,Press Conference on Gulf Oil Spill Disaster,speeches/barackobama/barackobamagulfoilspillpresser.htm
28 May 2010,Grande Isle Briefing on Gulf Oil Spill Disaster,speeches/barackobama/barackobamagrandeisleoilspillbriefing.htm
02 Jun 2010,Speech on the Economy at Carnegie Mellon,speeches/barackobama/barackobamacarnegiemellon.htm
07 Jun 2010,Kalamazoo Central H.S. Commencement Speech,speeches/barackobama/barackobamakalamazoocommencement.htm
09 Jun 2010,Speech on UN Security Council Sanctions Against Iran,speeches/barackobama/barackobamairansanctions.htm
15 Jun 2010,Speech to Military Personnel in Pensacola,speeches/barackobama/barackobamapensacolamilitary.htm
15 Jun 2010,Oval Office Speech on BP Oil Spill Disaster,speeches/barackobama/barackobamabpoilspillovaloffice.htm
16 Jun 2010,Speech to the American Nurses Association,speeches/barackobama/barackobamanursesassociation.htm
21 Jun 2010,Father's Day Speech,speeches/barackobama/barackobamafathersday2010.htm
23 Jun 2010,On the Removal of Gen. McChrystal in Afghanistan,speeches/barackobama/barackobamamccrystalremovedafghanistan.htm
01 Jul 2010,Comprehensive Immigration Reform Speech,speeches/barackobama/barackobamacomprehensiveimmigrationreform.htm
02 Jul 2010,Eulogy for Robert Byrd,speeches/barackobama/barackobamarobertbyrdeulogy.htm
21 Jul 2010,Dodd-Frank Consumer Protection Act Speech,speeches/barackobama/barackobamawallstreetreformactsigning.htm
29 Jul 2010,Urban League Centennial Address on Education,speeches/barackobama/barackobamaurbanleaguecentennial.htm
