date,title,url,beg,end,approval,disapproval,no opinon
2012-09-25,United Nations 67th Session General Assembly Speech,Data/barackobamaunitednations67.txt,2012-09-24,2012-09-30,48.0,45.0,6.0
2012-10-29,On Hurricane Sandy After Emergency Team Briefings,Data/barackobamahurricanesandy29oct.txt,2012-10-29,2012-11-04,52.0,45.0,3.0
2012-10-30,On Hurricane Sandy at the American Red Cross,Data/barackobamaredcross.txt,2012-10-29,2012-11-04,52.0,45.0,3.0
2012-11-06,Second Presidential Election Victory Speech,Data/barackobamasecondpresidentialvictoryspeech.txt,2012-11-05,2012-11-11,51.0,43.0,6.0
2012-11-09,Post Election Speech on Deficit Reduction and Jobs,Data/barackobamapostelectioneconomy.txt,2012-11-05,2012-11-11,51.0,43.0,6.0
2012-11-14,First Presser Following Presidential Reelection,Data/barackobamapresserpetraeus.txt,2012-11-12,2012-11-18,53.0,41.0,6.0
2012-11-19,Yangon University Address,Data/barackobamayangonuniversity.txt,2012-11-19,2012-11-25,52.0,40.0,8.0
2012-12-14,On the Sandy Hook Elementary School Shootings,Data/barackobamanewtownshooting.txt,2012-12-10,2012-12-16,52.0,40.0,8.0
2012-12-16,"Newtown, Connecticut Interfaith Vigil Speech",Data/barackobamanewtownvigilspeech.txt,2012-12-10,2012-12-16,52.0,40.0,8.0
2012-12-19,End Year Press Conference,Data/barackobamagunviolencepresser.txt,2012-12-17,2012-12-23,57.0,37.0,7.0
2012-12-21,Eulogy for Senator Daniel Inouye,Data/barackobamadanielinouyeeulogy.txt,2012-12-17,2012-12-23,57.0,37.0,7.0
2013-01-14,Final First Term Press Conference,Data/barackobamafinalfirsttermpresser.txt,2013-01-14,2013-01-20,50.0,43.0,7.0
2013-01-16,On Signing Executive Actions to Reduce Gun Violence,Data/barackobamagunviolenceexecacts.txt,2013-01-14,2013-01-20,50.0,43.0,7.0
2013-01-21,SECOND PRESIDENTIAL INAUGURAL ADDRESS,Data/barackobamasecondinauguraladdress.txt,2013-01-21,2013-01-27,52.0,43.0,5.0
2013-01-21,Inaugural Luncheon Toast,Data/barackobamainauguralluncheontoast.txt,2013-01-21,2013-01-27,52.0,43.0,5.0
2013-01-29,Comprehensive Immigration Reform Speech,Data/barackobamaimmagrationreform.txt,2013-01-28,2013-02-03,53.0,42.0,6.0
2013-02-12,Fourth Presidential State of the Union Speech,Data/barackobamamiddleclasseconomy.txt,2013-02-11,2013-02-17,51.0,43.0,6.0
2013-02-15,On Strengthening the Economy for the Middle Class,Data/barackobamasequesternewportnews.txt,2013-02-11,2013-02-17,51.0,43.0,6.0
2013-02-26,Newport News Speech on the Impact of the Sequester,Data/barackobamarosaparksstatue.txt,2013-02-25,2013-03-03,49.0,44.0,7.0
2013-02-27,Rosa Parks Statue Dedication Speech,Data/barackobamajerusalemconventioncenter.txt,2013-02-25,2013-03-03,49.0,44.0,7.0
2013-03-22,Speech in the Children's Memorial at Yad Vashem,Data/barackobamachildrensmemorialyadvashem.txt,2013-03-18,2013-03-24,47.0,45.0,8.0
2013-04-02,BRAIN Initiative Announcement,Data/barackobamabraininitiative.txt,2013-04-01,2013-04-07,48.0,45.0,7.0
2013-04-03,Gun Violence Reduction Speech in Colorado,Data/barackobamagunviolencereductiondenver.txt,2013-04-01,2013-04-07,48.0,45.0,7.0
2013-04-08,Gun Violence Reduction Speech in Connecticut,Data/barackobamagunviolencereductionconnecticut.txt,2013-04-08,2013-04-14,49.0,45.0,6.0
2013-04-11,U.S. Army Chaplain Emil Kapaun Medal of Honor Award,Data/barackobamaemilkapaunmedalofhonor.txt,2013-04-08,2013-04-14,49.0,45.0,6.0
2013-04-15,First Statement on Boston Marathon Bombings,Data/barackobamabostonmarathonexplosionsfirststatement.txt,2013-04-15,2013-04-21,50.0,43.0,7.0
2013-04-16,Second Statement on Boston Marathon Bombings,Data/barackobamabostonmarathonexplosionssecondstatement.txt,2013-04-15,2013-04-21,50.0,43.0,7.0
2013-04-17,On Senate Vote Against Background Checks,Data/barackobamasenateguncontrolbillvote.txt,2013-04-15,2013-04-21,50.0,43.0,7.0
2013-04-18,Boston Interfaith Prayer Service Speech,Data/barackobamabostoninterfaithprayerservice.txt,2013-04-15,2013-04-21,50.0,43.0,7.0
