date,title,url
2010-08-02,Disabled Veterans Conference Speech on Iraq OPS,./Data/barackobamairaqendingcombat.txt
2010-08-13,Iftar Dinner Speech on Religious Tolerance,./Data/barackobamaiftardinner.txt
2010-09-11,9/11 Pentagon Memorial Speech,./Data/barackobama911pentagonmemorial.txt
2010-09-23,United Nations 65th Session General Assembly Speech,./Data/barackobamaunitednations65.txt
2010-11-03,Midterm Election Press Conference,./Data/barackobamamidtermpresser.txt
2010-11-06,U.S.-Indian Business Summit Address,./Data/barackobamamumbaibusinesssummit.txt
2010-11-08,Indian Parliament Joint Session Speech,./Data/barackobamaindianparliament.txt
2010-11-10,Indonesia University Speech,./Data/barackobamaindonesiauniversity.txt
2010-11-16,Medal of Honor Award to Salvatore Giunta Speech,./Data/barackobamagiuntamedalofhonor.txt
2010-12-03,Speech to Troops at Bagram Air Field,./Data/barackobamabagramairfield.txt
2010-12-10,Presser on Tax Cuts with William Jefferson Clinton,./Data/barackobamawjclintontaxcuts.txt
2011-01-12,Tucson Memorial Service Speech,./Data/barackobamatucsonmemorial.txt
2011-02-01,On the Political Transition in Egypt,./Data/barackobamaegyptpoliticaltransition.txt
2011-02-03,Speech at the 59th National Prayer Breakfast,./Data/barackobama2011prayerbreakfast.txt
2011-02-07,Speech to the US Chamber of Commerce,./Data/barackobamachamberofcommerce.txt
2011-02-10,National Wireless Initiative Address,./Data/barackobamanationalwirelessinitiative.txt
2011-02-11,Address on the Historic Revolution in Egypt,./Data/barackobamaegyptrevolution.txt
2011-02-23,Address on the Violence in Libya,./Data/barackobamalibya.txt
2011-03-18,Statement on Libya,./Data/barackobamalibyawarning.txt
2011-03-19,On Odyssey Dawn Limited Military Action in Libya,./Data/barackobamalibyaltdmilitaryaction.txt
2011-03-20,Speech to the People of Rio de Janeiro,./Data/barackobamariodejaneiro.txt
2011-03-21,Speech on Latin American to the People of Chile,./Data/barackobamachilespeech.txt
2011-03-28,Speech to the American People on Libya,./Data/barackobamalibyanationspeech.txt
2011-03-30,On American Energy Security at Georgetown Univ.,./Data/barackobamaamericanenergysecurity.txt
2011-04-13,Speech on Improving Fiscal Policy,./Data/barackobamafiscalpolicy2011.txt
2011-04-26,Announcement of 2012 Presidential Candidacy,./Data/barackobama2012prescandidacy.txt
2011-04-27,Speech on Release of Official Certification of Birth,./Data/barackobamabirthcertificatespeech.txt
2011-04-29,Remarks on the Tornado Devastation in Alabama,./Data/barackobamaalabamatornado.txt
2011-04-29,Commencement Speech at Miami Dade College,./Data/barackobamamiamidadecommencement.txt
2011-04-30,White House Correspondents Dinner Speech,./Data/barackobamawhitehousecorrespondentsdinner2011.txt
2011-05-01,Speech Announcing the Death of Osama Bin Laden,./Data/barackobamaosamabinladendeath.txt
2011-05-06,Speech to Troops at Fort Campbell,./Data/barackobamafortcampbellkytroops.txt
2011-05-16,Commencement Speech at Booker T. Washington HS,./Data/barackobamabookertwashington.txt
2011-05-19,On American Diplomacy in the Middle East,./Data/barackobamamiddleeastpolicy.txt
2011-05-20,Speech to Intelligence Community at CIA Headquarters,./Data/barackobamaciaheadquarters.txt
2011-05-20,Joint Press Conference with Benjamin Netanyahu,./Data/barackobamabenjaminnetanyahujointpress.txt
2011-05-22,American-Israel Public Affairs Policy Conference,./Data/barackobamaaipacpc2011.txt
2011-05-25,Speech to the British Parliament,./Data/barackobamabritishparliament.txt
2011-05-29,Speech at the Memorial for Joplin Tornado Victims,./Data/barackobamajoplinmemorial.txt
2011-05-30,Department of Defense Personnel Announcement,./Data/barackobamadefensepersonnel.txt
2011-06-22,National Speech on Afghanistan War Troop Reduction,./Data/barackobamaafghanistanwardrawdown.txt
2011-06-24,Speech at Carnegie Mellon's Robotics Center,./Data/barackobamacarnegiemellonrobotics.txt
2011-06-29,Presser on Congressional Action to Promote Job Growth,./Data/barackobamajobgrowthpresser.txt
2011-07-25,Speech to the Nation on the Budget and Debt Ceiling,./Data/barackobamadeficitreductionplan.txt
2011-07-31,Statement on the Debt Compromise Agreement,./Data/barackobamadebtapprovalstmt.txt
2011-08-02,Statement on the Approved Debt Compromise,./Data/barackobamadebtcompromise.txt
2011-08-30,To the American Legion Conference in Minnesota,./Data/barackobamaamericanlegion2011.txt
2011-09-08,Joint Session of Congress Speech on Economy and Jobs,./Data/barackobamajointsessionjobs.txt
2011-09-19,Speech on Economic Growth and Deficit Reduction,./Data/barackobamaeconomicplandebtreductionbill.txt
2011-09-20,Speech on High-Level UNGA Meeting on Libya,./Data/barackobamaunlibya.txt
